Symbol,Price,Volume
ETHBTC,0.03055,14742.7277
LTCBTC,0.000759,16626.687
BNBBTC,0.008412,22466.691
NEOBTC,3.859e-05,1786.57
QTUMETH,0.0004655,354110.5
EOSETH,0.0003067,391642.7
SNTETH,1.7e-05,11484111.0
BNTETH,0.0002026,263070.3
GASBTC,2.43e-05,10184.6
BNBETH,0.2753,14778.43
BTCUSDT,72029.89,17864.43815
ETHUSDT,2200.14,276765.4454
WTCBTC,2.4e-07,11331662.0
LRCBTC,5.2e-07,7873696.0
LRCETH,1.675e-05,5957955.0
QTUMBTC,1.628e-05,248222.5
OMGBTC,3.08e-05,597457.9
OMGETH,0.000791,351567.3
ZRXBTC,1.54e-06,2204487.0
ZRXETH,9.94e-05,1984878.0
KNCBTC,1.93e-06,883695.2
KNCETH,0.0003941,343725.1
FUNETH,1.46e-06,53487685.0
SNMBTC,5.7e-07,16010793.0
NEOETH,0.004775,37983.48
IOTABTC,8e-07,257933.0
IOTAETH,3.346e-05,6859126.0
LINKBTC,0.0001253,86541.94
LINKETH,0.004102,83157.17
XVGETH,2.47e-06,43061611.0
MTLBTC,4.05e-06,1375538.3
MTLETH,0.0006834,342471.0
EOSBTC,7.16e-06,1023859.8
SNTBTC,3.2e-07,21964820.0
ETCETH,0.00387,26985.48
ETCBTC,0.0001177,5604.33
DNTBTC,1.86e-06,8250320.0
ZECBTC,0.0051585,8887.134
ZECETH,0.16889,604.148
BNTBTC,7.94e-06,137278.7
ASTBTC,1.24e-06,2116417.0
DASHBTC,0.0005128,5007.171
DASHETH,0.02084,8911.533
OAXBTC,3.8e-07,5541332.0
BTGBTC,0.000913,26988.3
REQBTC,1.12e-06,6855774.0
VIBBTC,5.1e-07,9254027.0
VIBETH,3.45e-05,3539004.0
TRXBTC,4.44e-06,3790741.0
TRXETH,0.00014554,1310824.0
POWRBTC,9.4e-07,6588378.0
POWRETH,2.76e-05,2607349.0
ARKBTC,1.679e-05,1419007.9
XRPBTC,1.877e-05,2736636.0
XRPETH,0.0006145,486081.5
ENJBTC,3.5e-07,4607809.8
ENJETH,6.172e-05,2215992.5
STORJBTC,1.43e-06,1051455.0
BNBUSDT,605.86,107657.109
KMDBTC,1.5e-07,23653896.0
NULSBTC,3e-07,8381687.0
XMRBTC,0.002287,13319.625
XMRETH,0.04032,9893.874
AMBBTC,1e-07,55515548.0
BATBTC,1.39e-06,59952.0
BATETH,0.0001063,1757738.0
NEOUSDT,2.799,202850.97
NEOBNB,0.03836,26716.61
BTSBTC,4.3e-07,66869720.0
LSKBTC,1.86e-06,46117.2
LSKETH,0.0003373,249310.9
MANABTC,1.47e-06,3702200.0
MANAETH,4.95e-05,4139046.0
IOTABNB,0.000717,2435345.0
ADXBTC,1.06e-06,129073.0
ADXETH,3.007e-05,18303575.0
ADABTC,3.55e-06,1262778.2
ADAETH,0.0001164,250672.6
XLMBTC,2.16e-06,1199227.0
XLMETH,7.1e-05,160246.0
XLMBNB,0.0003036,1930527.0
WABIBTC,3e-07,72226868.0
LTCETH,0.02486,11283.347
LTCUSDT,54.74,247367.551
LTCBNB,0.0904,354.057
WAVESBTC,1.626e-05,412440.43
WAVESETH,0.000298,374572.18
WAVESBNB,0.00513,311910.43
GTOBTC,7.7e-07,47557764.0
ICXBTC,5.6e-07,6526645.0
ICXETH,0.0001179,4025849.0
ELFBTC,2.74e-06,3864175.0
ELFETH,0.0001433,1840119.0
AIONBTC,1.39e-06,12702532.0
NEBLBTC,1.2e-05,1219315.1
RLCBTC,5.53e-06,2646604.4
RLCETH,0.0001947,120940.8
PIVXBTC,1.47e-06,3121330.0
IOSTBTC,1e-07,88610195.0
IOSTETH,3.72e-06,49889228.0
STEEMBTC,8.2e-07,38629.0
STEEMETH,2.657e-05,19531.0
BLZBTC,6e-07,4149126.0
BLZETH,4.159e-05,10774706.0
ZILBTC,1e-07,65482555.0
ZILETH,1.68e-06,112227742.0
ZILBNB,8.858e-05,16784204.0
ONTBTC,1.13e-06,1033637.0
ONTETH,0.0001253,1401481.0
QTUMUSDT,0.927,500790.7
XEMBTC,1.92e-06,14041020.0
WANBTC,8.1e-07,1847066.0
WANETH,9.27e-05,775480.0
QLCBTC,2.1e-07,130101170.0
SYSBTC,1.9e-07,31829443.0
ADAUSDT,0.2561,92545578.7
ADABNB,0.000423,152788.5
LOOMBTC,7.5e-07,13815528.0
LOOMETH,3.231e-05,9009886.0
XRPUSDT,1.3525,112750922.0
REPBTC,0.0003413,38613.67
BTCTUSD,72132.71,1.76015
ETHTUSD,2203.31,35.2788
ZENBTC,8.107e-05,8437.8
ZENETH,0.003991,26730.62
ZENBNB,0.0329,31204.14
EOSUSDT,0.7799,1180284.8
EOSBNB,0.002583,371406.28
CVCBTC,5.66e-06,3289236.0
THETABTC,2.44e-06,209025.3
THETAETH,0.0005017,362844.9
THETABNB,0.002736,307777.1
XRPBNB,0.0022312,27131.1
TUSDUSDT,0.9995,134536.0
IOTAUSDT,0.0576,21388954.0
XLMUSDT,0.1562,74103722.0
IOTXBTC,9e-08,82514121.0
IOTXETH,3e-06,53049050.0
QKCBTC,1e-07,74467936.0
QKCETH,4.3e-06,31027875.0
ENJBNB,0.001368,1020176.0
DATABTC,8e-08,44665732.0
DATAETH,2.034e-05,26268169.0
ONTUSDT,0.08152,70174842.0
TRXBNB,0.0005284,180236.0
TRXUSDT,0.3202,105308069.4
ETCUSDT,8.51,329460.16
ETCBNB,0.01416,8457.51
ICXUSDT,0.037,4058009.9
SCETH,4.9e-07,232594091.0
KEYETH,2.27e-06,105568180.0
MFTETH,4.33e-06,64983840.0
DENTETH,7e-08,1675516867.0
ARDRBTC,6.5e-07,24660761.0
NULSUSDT,0.0258,6282246.0
HOTETH,1.7e-07,1112665511.0
VETBTC,9e-08,2600020.0
VETETH,3.44e-06,50344578.0
VETUSDT,0.007216,182378266.7
VETBNB,1.339e-05,57638624.0
DOCKBTC,5e-08,29536668.0
POLYBTC,1.384e-05,1083011.0
RVNBTC,1e-07,47686571.0
DCRBTC,0.0002185,10992.056
MITHBTC,8e-07,33564196.0
MITHBNB,4.41e-05,66149312.0
RENBTC,4.3e-07,5371182.0
BNBTUSD,612.13,5.362
XRPTUSD,1.3178,4858.2
BNBUSDC,606.04,13682.929
BTCUSDC,72041.4,4216.9509
ETHUSDC,2200.64,172404.1969
XRPUSDC,1.3527,21986011.5
EOSUSDC,0.7778,544648.4
XLMUSDC,0.1563,12089715.0
USDCUSDT,0.9999,1492504545.0
ADATUSD,0.3847,1831521.9
TRXTUSD,0.05986,31456162.6
TRXXRP,0.2367,189201.6
LINKUSDT,9.03,3919938.13
LINKTUSD,14.423,28155.35
LINKUSDC,9.03,696319.61
WAVESUSDT,1.076,435097.68
LTCTUSD,83.07,6906.242
LTCUSDC,54.75,18375.378
TRXUSDC,0.3204,7145036.4
ONGBTC,1.24e-06,2811242.0
ONGUSDT,0.08979,68499673.0
HOTUSDT,0.000405,963193982.0
ZILUSDT,0.00397,107793038.8
ZRXUSDT,0.104,3288613.0
FETBNB,0.0004111,185137.3
FETBTC,3.45e-06,696112.7
FETUSDT,0.2495,67519916.3
BATUSDT,0.1008,3188031.0
XMRBNB,0.3321,5744.949
XMRUSDT,118.7,5017.379
ZECBNB,0.1026,13618.876
ZECUSDT,371.76,511850.678
ZECUSDC,371.65,45218.101
IOSTUSDT,0.001097,113335821.0
CELRBNB,5.294e-05,16293983.0
CELRBTC,9e-08,48961565.0
CELRUSDT,0.002404,133780734.7
ADAUSDC,0.2561,17531050.2
NEOUSDC,2.798,21414.67
DASHBNB,0.1183,10658.019
DASHUSDT,37.02,387429.643
OMGUSDT,0.383,1799285.0
THETAUSDT,0.176,22869314.2
ENJUSDT,0.0309,1516180067.0
MITHUSDT,0.00345,121888803.7
MATICBNB,0.000734,1877261.1
MATICBTC,6.67e-06,957316.2
MATICUSDT,0.3794,2834467.3
ATOMBNB,0.00739,62383.64
ATOMBTC,2.51e-05,11549.43
ATOMUSDT,1.812,1381803.02
ATOMUSDC,1.81,190814.04
ETCUSDC,8.53,7690.22
PHBBTC,2.52e-06,868699.4
TFUELBTC,1.6e-07,450027.0
