Symbol,Price,Volume
ETHBTC,0.03055,14742.7277
LTCBTC,0.000759,16626.687
BNBBTC,0.008412,22466.691
NEOBTC,0.00003859,1786.57
QTUMETH,0.0004655,354110.5
EOSETH,0.0003067,391642.7
SNTETH,0.000017,11484111
BNTETH,0.0002026,263070.3
BCCBTC,0,0
GASBTC,0.0000243,10184.6
BNBETH,0.2753,14778.43
BTCUSDT,72029.89,17864.43815
ETHUSDT,2200.14,276765.4454
HSRBTC,0,0
OAXETH,0,0
DNTETH,0,0
MCOETH,0,0
ICNETH,0,0
MCOBTC,0,0
WTCBTC,0.00000024,11331662
WTCETH,0,0
LRCBTC,0.00000052,7873696
LRCETH,0.00001675,5957955
QTUMBTC,0.00001628,248222.5
YOYOBTC,0,0
OMGBTC,0.0000308,597457.9
OMGETH,0.000791,351567.3
ZRXBTC,0.00000154,2204487
ZRXETH,0.0000994,1984878
STRATBTC,0,0
STRATETH,0,0
SNGLSBTC,0,0
SNGLSETH,0,0
BQXBTC,0,0
BQXETH,0,0
KNCBTC,0.00000193,883695.2
KNCETH,0.0003941,343725.1
FUNBTC,0,0
FUNETH,0.00000146,53487685
SNMBTC,0.00000057,16010793
SNMETH,0,0
NEOETH,0.004775,37983.48
IOTABTC,0.0000008,257933
IOTAETH,0.00003346,6859126
LINKBTC,0.0001253,86541.94
LINKETH,0.004102,83157.17
XVGBTC,0,0
XVGETH,0.00000247,43061611
SALTBTC,0,0
SALTETH,0,0
MDABTC,0,0
MDAETH,0,0
MTLBTC,0.00000405,1375538.3
MTLETH,0.0006834,342471
SUBBTC,0,0
SUBETH,0,0
EOSBTC,0.00000716,1023859.8
SNTBTC,0.00000032,21964820
ETCETH,0.00387,26985.48
ETCBTC,0.0001177,5604.33
MTHBTC,0,0
MTHETH,0,0
ENGBTC,0,0
ENGETH,0,0
DNTBTC,0.00000186,8250320
ZECBTC,0.0051585,8887.134
ZECETH,0.16889,604.148
BNTBTC,0.00000794,137278.7
ASTBTC,0.00000124,2116417
ASTETH,0,0
DASHBTC,0.0005128,5007.171
DASHETH,0.02084,8911.533
OAXBTC,0.00000038,5541332
ICNBTC,0,0
BTGBTC,0.000913,26988.3
BTGETH,0,0
EVXBTC,0,0
EVXETH,0,0
REQBTC,0.00000112,6855774
REQETH,0,0
VIBBTC,0.00000051,9254027
VIBETH,0.0000345,3539004
HSRETH,0,0
TRXBTC,0.00000444,3790741
TRXETH,0.00014554,1310824
POWRBTC,0.00000094,6588378
POWRETH,0.0000276,2607349
ARKBTC,0.00001679,1419007.9
ARKETH,0,0
YOYOETH,0,0
XRPBTC,0.00001877,2736636
XRPETH,0.0006145,486081.5
MODBTC,0,0
MODETH,0,0
ENJBTC,0.00000035,4607809.8
ENJETH,0.00006172,2215992.5
STORJBTC,0.00000143,1051455
STORJETH,0,0
BNBUSDT,605.86,107657.109
VENBNB,0,0
YOYOBNB,0,0
POWRBNB,0,0
VENBTC,0,0
VENETH,0,0
KMDBTC,0.00000015,23653896
KMDETH,0,0
NULSBNB,0,0
RCNBTC,0,0
RCNETH,0,0
RCNBNB,0,0
NULSBTC,0.0000003,8381687
NULSETH,0,0
RDNBTC,0,0
RDNETH,0,0
RDNBNB,0,0
XMRBTC,0.002287,13319.625
XMRETH,0.04032,9893.874
DLTBNB,0,0
WTCBNB,0,0
DLTBTC,0,0
DLTETH,0,0
AMBBTC,0.0000001,55515548
AMBETH,0,0
AMBBNB,0,0
BCCETH,0,0
BCCUSDT,0,0
BCCBNB,0,0
BATBTC,0.00000139,59952
BATETH,0.0001063,1757738
BATBNB,0,0
BCPTBTC,0,0
BCPTETH,0,0
BCPTBNB,0,0
ARNBTC,0,0
ARNETH,0,0
GVTBTC,0,0
GVTETH,0,0
CDTBTC,0,0
CDTETH,0,0
GXSBTC,0,0
GXSETH,0,0
NEOUSDT,2.799,202850.97
NEOBNB,0.03836,26716.61
POEBTC,0,0
POEETH,0,0
QSPBTC,0,0
QSPETH,0,0
QSPBNB,0,0
BTSBTC,0.00000043,66869720
BTSETH,0,0
BTSBNB,0,0
XZCBTC,0,0
XZCETH,0,0
XZCBNB,0,0
LSKBTC,0.00000186,46117.2
LSKETH,0.0003373,249310.9
LSKBNB,0,0
TNTBTC,0,0
TNTETH,0,0
FUELBTC,0,0
FUELETH,0,0
MANABTC,0.00000147,3702200
MANAETH,0.0000495,4139046
BCDBTC,0,0
BCDETH,0,0
DGDBTC,0,0
DGDETH,0,0
IOTABNB,0.000717,2435345
ADXBTC,0.00000106,129073
ADXETH,0.00003007,18303575
ADXBNB,0,0
ADABTC,0.00000355,1262778.2
ADAETH,0.0001164,250672.6
PPTBTC,0,0
PPTETH,0,0
CMTBTC,0,0
CMTETH,0,0
CMTBNB,0,0
XLMBTC,0.00000216,1199227
XLMETH,0.000071,160246
XLMBNB,0.0003036,1930527
CNDBTC,0,0
CNDETH,0,0
CNDBNB,0,0
LENDBTC,0,0
LENDETH,0,0
WABIBTC,0.0000003,72226868
WABIETH,0,0
WABIBNB,0,0
LTCETH,0.02486,11283.347
LTCUSDT,54.74,247367.551
LTCBNB,0.0904,354.057
TNBBTC,0,0
TNBETH,0,0
WAVESBTC,0.00001626,412440.43
WAVESETH,0.000298,374572.18
WAVESBNB,0.00513,311910.43
GTOBTC,0.00000077,47557764
GTOETH,0,0
GTOBNB,0,0
ICXBTC,0.00000056,6526645
ICXETH,0.0001179,4025849
ICXBNB,0,0
OSTBTC,0,0
OSTETH,0,0
OSTBNB,0,0
ELFBTC,0.00000274,3864175
ELFETH,0.0001433,1840119
AIONBTC,0.00000139,12702532
AIONETH,0,0
AIONBNB,0,0
NEBLBTC,0.000012,1219315.1
NEBLBNB,0,0
BRDBTC,0,0
BRDETH,0,0
BRDBNB,0,0
MCOBNB,0,0
EDOBTC,0,0
EDOETH,0,0
WINGSBTC,0,0
WINGSETH,0,0
NAVBTC,0,0
NAVETH,0,0
NAVBNB,0,0
LUNBTC,0,0
LUNETH,0,0
TRIGBTC,0,0
TRIGETH,0,0
TRIGBNB,0,0
APPCBTC,0,0
APPCETH,0,0
APPCBNB,0,0
VIBEBTC,0,0
VIBEETH,0,0
RLCBTC,0.00000553,2646604.4
RLCETH,0.0001947,120940.8
RLCBNB,0,0
INSBTC,0,0
INSETH,0,0
PIVXBTC,0.00000147,3121330
PIVXBNB,0,0
IOSTBTC,0.0000001,88610195
IOSTETH,0.00000372,49889228
CHATBTC,0,0
CHATETH,0,0
STEEMBTC,0.00000082,38629
STEEMETH,0.00002657,19531
STEEMBNB,0,0
NANOBTC,0,0
NANOETH,0,0
NANOBNB,0,0
VIABTC,0,0
VIAETH,0,0
VIABNB,0,0
BLZBTC,0.0000006,4149126
BLZETH,0.00004159,10774706
BLZBNB,0,0
AEBTC,0,0
AEETH,0,0
AEBNB,0,0
RPXBTC,0,0
RPXETH,0,0
RPXBNB,0,0
NCASHBTC,0,0
NCASHETH,0,0
NCASHBNB,0,0
POABTC,0,0
POAETH,0,0
POABNB,0,0
ZILBTC,0.0000001,65482555
ZILETH,0.00000168,112227742
ZILBNB,0.00008858,16784204
ONTBTC,0.00000113,1033637
ONTETH,0.0001253,1401481
ONTBNB,0,0
STORMBTC,0,0
STORMETH,0,0
STORMBNB,0,0
QTUMBNB,0,0
QTUMUSDT,0.927,500790.7
XEMBTC,0.00000192,14041020
XEMETH,0,0
XEMBNB,0,0
WANBTC,0.00000081,1847066
WANETH,0.0000927,775480
WANBNB,0,0
WPRBTC,0,0
WPRETH,0,0
QLCBTC,0.00000021,130101170
QLCETH,0,0
SYSBTC,0.00000019,31829443
SYSETH,0,0
SYSBNB,0,0
QLCBNB,0,0
GRSBTC,0,0
GRSETH,0,0
ADAUSDT,0.2561,92545578.7
ADABNB,0.000423,152788.5
CLOAKBTC,0,0
CLOAKETH,0,0
GNTBTC,0,0
GNTETH,0,0
GNTBNB,0,0
LOOMBTC,0.00000075,13815528
LOOMETH,0.00003231,9009886
LOOMBNB,0,0
XRPUSDT,1.3525,112750922
BCNBTC,0,0
BCNETH,0,0
BCNBNB,0,0
REPBTC,0.0003413,38613.67
REPBNB,0,0
BTCTUSD,72132.71,1.76015
TUSDBTC,0,0
